date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change,regime,regime_score
2022-08-01,AAPL,161.51,BUY,0.7,60,150.8,69.29,17.82,158.8,4.36,3.18,1.19,162.3,150.8,139.3,,,,,,,,bull,0.9403
2022-08-02,AAPL,160.01,BUY,0.7,60,151.72,66.53,18.38,126.78,4.69,3.78,0.91,163.07,151.72,140.37,,,,,,,,bull,0.8833
2022-08-03,AAPL,166.13,BUY,0.7,40,152.88,72.51,19.43,157.82,5.14,4.02,1.13,165.11,152.88,140.66,,,,,,,,bull,0.9491
2022-08-04,AAPL,165.81,BUY,0.7,40,153.86,71.78,21.07,152.13,5.44,4.3,1.14,166.91,153.86,140.8,,,,,,,,bull,0.9472
2022-08-05,AAPL,165.35,BUY,0.7,50,154.77,70.69,22.07,122.36,5.58,4.56,1.02,168.35,154.77,141.2,,,,,,,,bull,0.93
2022-08-08,AAPL,164.87,BUY,0.7,30,155.77,70.14,24.38,116.93,5.74,5.0,0.74,169.23,155.77,142.31,,,,,,,,bull,0.9001
2022-08-09,AAPL,164.92,BUY,0.7,30,156.72,70.97,30.82,93.73,5.9,5.46,0.44,169.94,156.72,143.51,,,,,,,,bull,0.8865
2022-08-10,AAPL,169.24,BUY,0.7,30,157.91,76.14,41.39,120.93,6.33,5.9,0.43,171.14,157.91,144.68,,,,,,,,bull,0.9159
2022-08-11,AAPL,168.49,BUY,0.7,30,158.91,74.0,42.28,115.73,6.35,5.99,0.36,172.16,158.91,145.66,,,,,,,,bull,0.9053
2022-08-12,AAPL,172.1,BUY,0.7,50,160.01,77.31,43.25,124.44,6.58,6.11,0.47,173.8,160.01,146.22,,,,,,,,bull,0.9158
2022-08-15,AAPL,173.19,BUY,0.7,30,161.31,78.87,47.05,129.56,6.86,6.37,0.49,174.9,161.31,147.73,,,,,,,,bull,0.9185
2022-08-16,AAPL,173.03,BUY,0.8,60,162.42,78.31,47.27,121.83,6.85,6.39,0.47,176.05,162.42,148.78,,,,,,,,bull,0.9126
2022-08-17,AAPL,174.55,BUY,0.7,40,163.49,79.45,44.95,127.42,6.76,6.25,0.51,177.39,163.49,149.59,,,,,,,,bull,0.9109
2022-08-18,AAPL,174.15,BUY,0.7,40,164.43,78.09,46.18,114.01,6.74,6.35,0.38,178.54,164.43,150.32,,,,,,,,bull,0.8995
2022-08-19,AAPL,171.52,BUY,0.7,60,165.3,69.63,46.42,85.2,6.43,6.37,0.06,178.9,165.3,151.71,,,,,,,,bull,0.8021
2022-08-22,AAPL,167.57,BUY,0.7,60,166.03,59.09,43.31,30.87,5.7,6.14,-0.43,178.41,166.03,153.66,,,,,,,,bull,0.6883
2022-08-23,AAPL,167.23,BUY,0.6,50,166.82,58.0,38.75,13.52,4.99,5.76,-0.76,177.27,166.82,156.36,,,,,,,,bull,0.6669
2022-08-24,AAPL,167.53,BUY,0.6,50,167.35,58.55,35.69,1.28,4.51,5.51,-1.0,176.74,167.35,157.96,,,,,,,,bull,0.6453
2022-08-25,AAPL,170.03,BUY,0.7,60,167.99,62.86,34.93,32.02,4.29,5.26,-0.98,176.23,167.99,159.74,,,,,,,,bull,0.6836
2022-08-26,AAPL,163.62,HOLD,0.6,20,168.04,48.83,32.63,-41.89,3.55,4.92,-1.37,176.15,168.04,159.93,,,,,,,,bull,0.654
2022-08-29,AAPL,161.38,HOLD,0.7,30,168.04,45.35,43.7,-138.24,2.92,4.74,-1.82,176.17,168.04,159.91,,,,,,,,bull,0.6417
2022-08-30,AAPL,158.91,HOLD,0.7,20,167.98,41.27,41.18,-168.61,1.97,4.09,-2.12,176.34,167.98,159.62,,,,,,,,bull,0.6326
2022-08-31,AAPL,157.22,HOLD,0.7,20,167.54,38.55,37.91,-174.69,1.04,3.35,-2.32,177.1,167.54,157.97,,,,,,,,bull,0.634
2022-09-01,AAPL,157.96,HOLD,0.6,20,167.14,40.23,36.91,-168.48,0.44,2.77,-2.33,177.57,167.14,156.72,,,,,,,,bull,0.6221
2022-09-02,AAPL,155.81,HOLD,0.7,20,166.67,37.06,35.36,-145.15,-0.2,2.18,-2.38,178.19,166.67,155.14,,,,,,,,bull,0.6257
2022-09-05,AAPL,155.81,HOLD,0.6,20,166.67,36.54,33.04,-145.15,-0.38,1.93,-2.31,178.19,166.67,155.14,,,,,,,,bull,0.6257
2022-09-06,AAPL,154.53,HOLD,0.7,20,166.15,34.69,31.68,-145.69,-1.0,1.32,-2.32,178.82,166.15,153.48,,,,,,,,bull,0.618
2022-09-07,AAPL,155.96,HOLD,0.7,30,165.7,38.44,32.62,-122.04,-1.25,0.91,-2.17,179.12,165.7,152.28,,,,,,,,bull,0.5988
2022-09-08,AAPL,154.46,HOLD,0.7,20,164.96,36.18,31.96,-113.1,-1.63,0.4,-2.03,179.13,164.96,150.79,,,,,,,,bull,0.6037
2022-09-09,AAPL,157.37,HOLD,0.6,20,164.41,43.17,30.82,-80.05,-1.67,-0.01,-1.66,178.85,164.41,149.96,,,,,,,,bull,0.5541
2022-09-12,AAPL,163.43,HOLD,0.6,30,163.97,54.13,31.56,-18.64,-1.34,-0.43,-0.9,177.98,163.97,149.97,,,,,,,,bull,0.579
2022-09-13,AAPL,153.84,HOLD,0.7,20,163.0,40.32,29.35,-78.32,-1.78,-0.79,-0.99,177.0,163.0,149.01,,,,,,,,bull,0.3368
2022-09-14,AAPL,155.31,HOLD,0.6,20,162.12,42.89,29.26,-78.34,-1.81,-0.86,-0.95,175.71,162.12,148.53,,,,,,,,neutral,0.1996
2022-09-15,AAPL,152.37,HOLD,0.6,20,161.01,39.46,28.26,-98.16,-2.15,-1.12,-1.03,173.96,161.01,148.06,,,,,,,,neutral,0.1033
2022-09-16,AAPL,150.7,HOLD,0.7,20,159.84,37.63,27.92,-124.69,-2.52,-1.4,-1.12,172.04,159.84,147.63,,,,,,,,neutral,0.0796
2022-09-19,AAPL,154.48,HOLD,0.6,20,158.99,43.43,25.3,-88.13,-2.78,-2.05,-0.73,170.15,158.99,147.83,,,,,,,,neutral,0.1567
2022-09-20,AAPL,156.9,HOLD,0.6,20,158.45,47.26,22.75,-38.35,-2.46,-2.08,-0.37,168.92,158.45,147.99,,,,,,,,neutral,0.231
2022-09-21,AAPL,153.72,HOLD,0.6,20,157.78,43.26,21.29,-44.2,-2.43,-2.12,-0.31,167.61,157.78,147.94,,,,,,,,neutral,0.1831
2022-09-22,AAPL,152.74,HOLD,0.6,20,157.04,42.06,20.14,-88.2,-2.5,-2.19,-0.3,166.02,157.04,148.06,,,,,,,,neutral,0.2033
2022-09-23,AAPL,150.43,HOLD,0.6,20,156.06,39.29,19.57,-142.11,-2.7,-2.3,-0.41,163.25,156.06,148.86,,,,,,,,neutral,0.1661
2022-09-26,AAPL,150.77,HOLD,0.6,20,155.41,39.51,16.5,-110.68,-2.97,-2.66,-0.31,162.07,155.41,148.76,,,,,,,,neutral,0.2159
2022-09-27,AAPL,151.76,HOLD,0.6,20,154.93,40.96,15.6,-81.96,-3.13,-3.01,-0.12,161.17,154.93,148.7,,,,,,,,neutral,0.2642
2022-09-28,AAPL,149.84,HOLD,0.6,20,154.48,38.46,14.18,-159.96,-3.16,-3.0,-0.16,160.81,154.48,148.15,,,,,,,,neutral,0.2263
2022-09-29,AAPL,142.48,HOLD,0.6,20,153.74,30.57,15.09,-234.97,-3.78,-3.16,-0.62,161.82,153.74,145.67,,,,,,,,neutral,0.0138
2022-09-30,AAPL,138.2,HOLD,0.0,0,152.75,27.08,16.32,-248.98,-4.55,-3.44,-1.12,163.05,152.75,142.46,,,,,,,,neutral,-0.0666
2022-10-03,AAPL,142.45,HOLD,0.6,20,152.09,34.62,17.87,-182.26,-4.93,-3.93,-1.0,163.21,152.09,140.97,,,,,,,,neutral,-0.0098
2022-10-04,AAPL,146.1,HOLD,0.6,20,151.67,40.66,16.93,-94.14,-4.72,-4.06,-0.67,163.02,151.67,140.31,,,,,,,,neutral,0.0836
2022-10-05,AAPL,146.4,HOLD,0.6,20,151.19,41.16,18.63,-81.87,-4.48,-4.12,-0.36,162.58,151.19,139.79,,,,,,,,neutral,0.1651
2022-10-06,AAPL,145.43,HOLD,0.6,20,150.74,40.03,19.0,-66.81,-4.34,-4.17,-0.17,162.29,150.74,139.18,,,,,,,,neutral,0.1962
2022-10-07,AAPL,140.09,HOLD,0.6,20,149.87,34.44,20.27,-123.89,-4.6,-4.25,-0.34,161.89,149.87,137.85,,,,,,,,neutral,0.0564
2022-10-10,AAPL,140.42,HOLD,0.6,20,148.72,34.72,28.07,-117.55,-4.85,-4.54,-0.31,159.69,148.72,137.76,,,,,,,,neutral,0.11
2022-10-11,AAPL,138.98,HOLD,0.0,0,147.98,32.94,30.91,-113.33,-5.14,-4.82,-0.32,159.46,147.98,136.5,,,,,,,,neutral,0.1062
2022-10-12,AAPL,138.34,HOLD,0.0,0,147.13,32.18,33.64,-108.11,-5.28,-4.96,-0.33,158.82,147.13,135.44,,,,,,,,neutral,0.1116
2022-10-13,AAPL,142.99,HOLD,0.6,20,146.66,41.25,34.81,-82.0,-4.93,-4.95,0.02,158.23,146.66,135.1,,,,,,,,neutral,0.2287
2022-10-14,AAPL,138.38,HOLD,0.0,0,146.04,36.10,35.57,-74.44,-4.96,-4.95,-0.01,157.99,146.04,134.10,,,,,,,,neutral,0.113
2025-12-05,AAPL,278.78,HOLD,0.6,30,274.77,59.03,27.39,63.53,4.5,4.15,0.35,286.41,274.77,263.13,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,,
2025-12-08,AAPL,277.89,BUY,0.6,20,275.24,57.57,29.12,37.77,4.24,4.3,-0.06,286.58,275.24,263.9,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2025-12-09,AAPL,277.18,BUY,0.7,60,275.63,56.98,40.93,35.02,4.19,4.68,-0.5,286.68,275.63,264.58,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,
2025-12-10,AAPL,278.78,HOLD,0.6,20,275.8,59.3,39.91,35.66,3.84,4.39,-0.55,286.94,275.8,264.67,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,
2025-12-11,AAPL,278.03,HOLD,0.6,20,276.03,57.61,38.04,15.77,3.55,4.22,-0.67,287.15,276.03,264.92,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
2026-03-02,AAPL,264.72,HOLD,0.6,10,268.96,48.32,16.87,-66.06,0.96,1.24,-0.27,281.22,268.96,256.69,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
2026-03-03,AAPL,263.75,HOLD,0.6,20,268.64,47.31,16.79,-70.05,0.61,1.11,-0.5,281.1,268.64,256.18,2.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,,
2026-03-04,AAPL,262.52,SELL,0.6,20,268.29,46.2,14.8,-61.27,0.39,1.16,-0.77,281.03,268.29,255.56,2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,,
2026-03-05,AAPL,260.29,HOLD,0.6,20,267.48,43.81,15.31,-95.97,-0.1,0.91,-1.01,280.09,267.48,254.88,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,
2026-03-06,AAPL,257.46,HOLD,0.6,20,266.56,40.92,16.15,-121.6,-0.71,0.58,-1.29,279.26,266.56,253.86,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,
2026-03-09,AAPL,259.88,HOLD,0.6,20,265.65,44.71,14.62,-100.32,-0.68,0.65,-1.32,277.49,265.65,253.81,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,,
2026-03-10,AAPL,260.83,HOLD,0.6,20,264.96,46.0,14.31,-70.43,-0.84,0.32,-1.16,276.23,264.96,253.7,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,
2026-03-11,AAPL,260.81,HOLD,0.6,20,264.32,45.91,14.06,-55.57,-0.99,0.01,-0.99,274.97,264.32,253.66,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,
