date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change,regime,regime_score
2023-06-01,JNJ,154.54,HOLD,0.7,20,158.5,29.45,23.68,-117.93,-1.92,-1.45,-0.48,164.2,158.5,152.79,,,,,,,,neutral,0.2386
2023-06-02,JNJ,156.97,HOLD,0.6,20,158.24,43.77,23.12,-59.14,-1.74,-1.5,-0.23,163.72,158.24,152.75,,,,,,,,bull,0.3971
2023-06-05,JNJ,158.32,HOLD,0.6,20,158.02,48.23,36.04,-2.9,-1.78,-1.94,0.16,163.11,158.02,152.93,,,,,,,,bull,0.373
2023-06-06,JNJ,158.18,BUY,0.6,40,157.81,47.81,31.21,19.41,-1.51,-1.82,0.31,162.52,157.81,153.11,,,,,,,,bull,0.3905
2023-06-07,JNJ,158.52,HOLD,0.6,20,157.69,49.46,29.33,21.22,-1.28,-1.71,0.43,162.16,157.69,153.21,,,,,,,,bull,0.3886
2023-06-08,JNJ,160.26,BUY,0.6,40,157.62,56.93,27.85,71.85,-0.94,-1.56,0.61,161.89,157.62,153.35,,,,,,,,bull,0.3598
2023-06-09,JNJ,160.01,BUY,0.6,40,157.57,55.65,26.63,96.17,-0.69,-1.38,0.69,161.7,157.57,153.44,,,,,,,,bull,0.3807
2023-06-12,JNJ,159.9,BUY,0.6,40,157.53,54.71,29.03,83.86,-0.56,-1.31,0.75,161.54,157.53,153.51,,,,,,,,bull,0.3909
2023-06-13,JNJ,160.74,BUY,0.7,40,157.58,58.42,27.34,106.13,-0.32,-1.1,0.78,161.75,157.58,153.42,,,,,,,,bull,0.3734
2023-06-14,JNJ,161.56,BUY,0.7,40,157.7,61.7,26.74,144.71,-0.07,-0.89,0.83,162.15,157.7,153.24,,,,,,,,bull,0.3678
2023-06-15,JNJ,163.73,BUY,0.7,40,157.93,68.66,26.8,174.1,0.3,-0.65,0.96,163.08,157.93,152.78,,,,,,,,bull,0.3951
2023-06-16,JNJ,164.23,HOLD,0.7,30,158.22,70.01,27.27,182.07,0.63,-0.4,1.03,164.06,158.22,152.38,,,,,,,,bull,0.4094
2023-06-19,JNJ,164.23,BUY,0.7,30,158.22,70.97,24.49,182.07,0.69,-0.32,1.01,164.06,158.22,152.38,,,,,,,,bull,0.4094
2023-06-20,JNJ,164.13,BUY,0.7,40,158.48,70.6,29.2,156.33,0.97,-0.02,0.99,164.86,158.48,152.1,,,,,,,,bull,0.4184
2023-06-21,JNJ,163.88,BUY,0.7,40,158.83,68.68,28.82,120.72,1.08,0.15,0.93,165.58,158.83,152.08,,,,,,,,bull,0.4297
2023-06-22,JNJ,165.62,BUY,0.7,40,159.27,73.64,28.96,129.04,1.32,0.38,0.94,166.56,159.27,151.98,,,,,,,,bull,0.4637
