date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change,regime,regime_score
2026-03-02,JPM,297.56,HOLD,0.7,20,308.31,40.38,19.76,-119.18,-3.54,-2.78,-0.76,323.4,308.31,293.22,2,-1,-1,-1,-1,-1,1,neutral,0.2706
2026-03-03,JPM,300.26,SELL,0.7,30,307.92,43.32,20.47,-103.1,-3.56,-2.94,-0.62,323.41,307.92,292.43,2,-2,-2,-2,-2,-2,-2,bull,0.3412
2026-03-04,JPM,299.39,HOLD,0.7,20,307.14,42.1,30.21,-81.67,-3.96,-3.55,-0.41,322.72,307.14,291.57,2,-1,-1,-1,-1,-1,1,bull,0.3429
2026-03-05,JPM,293.55,HOLD,0.6,20,305.96,37.5,30.73,-102.38,-4.4,-3.72,-0.68,321.87,305.96,290.04,2,1,1,1,1,1,0,neutral,0.2578
2026-03-06,JPM,289.48,HOLD,0.7,10,304.92,34.66,31.84,-156.32,-5.01,-3.98,-1.03,322.24,304.92,287.61,0,0,0,0,0,0,0,neutral,0.1878
2026-03-09,JPM,289.92,SELL,0.6,20,303.3,35.27,30.12,-147.55,-5.25,-4.08,-1.16,319.83,303.3,286.77,2,-1,-1,-1,-1,-1,1,neutral,0.174
2026-03-10,JPM,288.73,HOLD,0.7,20,301.63,34.41,31.44,-120.76,-5.57,-4.35,-1.22,316.92,301.63,286.34,2,-1,-1,-1,0,-1,1,neutral,0.1482
2026-03-11,JPM,287.52,SELL,0.7,20,300.09,33.67,29.11,-130.11,-5.68,-4.38,-1.3,314.54,300.09,285.64,2,-2,-2,-2,-2,-2,-2,neutral,0.1275
2026-03-12,JPM,282.89,HOLD,0.7,20,298.7,30.31,30.7,-169.22,-6.24,-4.76,-1.49,314.1,298.7,283.3,2,-2,-2,-2,-2,-2,-2,neutral,0.0868
2026-03-13,JPM,283.44,SELL,0.7,20,297.74,31.19,31.55,-125.03,-6.57,-5.12,-1.45,314.38,297.74,281.1,2,-2,-2,-2,-2,-2,2,neutral,0.0894
2026-03-16,JPM,286.16,HOLD,0.7,20,296.92,36.03,27.36,-91.67,-5.98,-4.66,-1.32,314.13,296.92,279.7,2,-1,-1,-1,-1,-1,1,neutral,0.1638
2026-03-17,JPM,286.89,SELL,0.7,20,295.91,36.94,29.51,-69.15,-5.99,-5.1,-0.89,312.98,295.91,278.83,2,-2,-2,-2,-2,-2,-2,neutral,0.2012
2026-03-18,JPM,287.74,HOLD,0.7,20,294.85,38.86,26.67,-67.76,-5.35,-4.67,-0.67,311.2,294.85,278.5,1,0,0,0,0,0,0,neutral,0.2438
2026-03-19,JPM,287.97,HOLD,0.7,20,293.85,39.27,26.87,-61.23,-5.1,-4.76,-0.34,309.27,293.85,278.42,2,1,1,1,1,1,1,neutral,0.2697
2026-03-20,JPM,287.97,SELL,0.7,20,293.85,39.27,26.87,-61.23,-5.1,-4.76,-0.34,309.27,293.85,278.42,2,-2,-2,-2,-2,-2,2,neutral,0.2697
2026-03-23,JPM,287.97,HOLD,0.6,20,293.85,39.15,26.02,-61.23,-5.14,-4.83,-0.32,309.27,293.85,278.42,2,1,1,1,1,1,-1,neutral,0.2697
2026-03-24,JPM,287.97,HOLD,0.6,20,293.85,39.55,22.93,-61.23,-4.86,-4.46,-0.4,309.27,293.85,278.42,2,1,1,1,1,1,1,neutral,0.2697
