date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change,regime,regime_score
2024-01-02,MSFT,370.87,HOLD,0.6,30,372.4,48.32,31.83,-24.97,1.27,1.54,-0.27,377.39,372.4,367.41,,,,,,,,bull,0.5763
2024-01-03,MSFT,370.6,HOLD,0.6,20,372.47,47.59,27.8,-49.22,0.79,1.19,-0.4,377.31,372.47,367.63,,,,,,,,bull,0.556
2024-01-04,MSFT,367.94,HOLD,0.6,30,372.24,43.72,26.01,-96.35,0.33,1.02,-0.69,377.46,372.24,367.02,,,,,,,,bull,0.3936
2024-01-05,MSFT,367.75,HOLD,0.7,20,372.19,43.45,24.51,-111.32,-0.05,0.8,-0.85,377.57,372.19,366.81,,,,,,,,bull,0.3742
2024-01-08,MSFT,374.69,BUY,0.6,40,372.37,54.34,18.28,30.32,0.06,0.44,-0.39,377.83,372.37,366.92,,,,,,,,bull,0.4527
2024-01-09,MSFT,375.79,BUY,0.6,40,372.45,55.17,13.5,72.8,-0.04,-0.13,0.08,378.05,372.45,366.85,,,,,,,,bull,0.4652
2024-01-10,MSFT,382.77,BUY,0.7,40,373.03,63.76,14.33,255.09,0.91,0.24,0.67,380.17,373.03,365.88,,,,,,,,bull,0.466
2024-01-11,MSFT,384.63,BUY,0.7,50,373.54,65.6,16.28,279.71,1.67,0.53,1.15,382.29,373.54,364.79,,,,,,,,bull,0.4951
2024-01-12,MSFT,388.47,BUY,0.7,50,374.24,69.09,18.09,248.57,2.56,0.93,1.63,385.16,374.24,363.33,,,,,,,,bull,0.5453
2024-01-15,MSFT,388.47,BUY,0.7,50,374.24,68.68,12.67,248.57,2.13,0.34,1.78,385.16,374.24,363.33,,,,,,,,bull,0.5453
2024-01-16,MSFT,390.27,BUY,0.7,40,375.46,70.96,17.76,234.67,3.28,1.3,1.98,387.74,375.46,363.19,,,,,,,,bull,0.8618
