date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change,regime,regime_score
2024-01-02,NVDA,481.68,BUY,0.6,50,481.41,49.31,20.83,14.66,4.99,4.93,0.06,508.28,481.41,454.53,,,,,,,,bull,0.5892
2024-01-03,NVDA,475.69,HOLD,0.6,20,482.44,45.63,17.73,-33.19,3.29,4.23,-0.93,506.64,482.44,458.23,,,,,,,,bull,0.5452
2024-01-04,NVDA,479.98,HOLD,0.6,30,483.15,48.4,16.63,-21.22,2.55,3.89,-1.34,506.15,483.15,460.15,,,,,,,,bull,0.5084
2024-01-05,NVDA,490.97,BUY,0.7,50,484.95,54.77,16.3,43.05,2.82,3.68,-0.86,504.19,484.95,465.71,,,,,,,,bull,0.5832
2024-01-08,NVDA,522.53,BUY,0.8,60,487.78,67.08,14.44,213.93,5.01,3.43,1.58,511.2,487.78,464.36,,,,,,,,bull,0.8291
2024-01-09,NVDA,531.4,BUY,0.7,60,490.59,69.42,16.52,285.51,7.18,3.51,3.67,520.0,490.59,461.18,,,,,,,,bull,0.9221
2024-01-10,NVDA,543.5,BUY,0.7,40,494.46,72.53,18.47,280.72,10.16,4.73,5.43,529.77,494.46,459.15,,,,,,,,bull,0.9258
2024-01-11,NVDA,548.22,BUY,0.7,30,498.04,73.67,20.74,225.26,12.87,6.36,6.51,539.38,498.04,456.69,,,,,,,,bull,0.9586
2024-01-12,NVDA,547.1,BUY,0.7,40,501.35,72.9,22.84,175.83,14.75,8.04,6.71,547.05,501.35,455.65,,,,,,,,bull,0.996
2024-01-15,NVDA,547.1,BUY,0.7,40,501.35,72.96,20.77,175.83,14.38,7.55,6.83,547.05,501.35,455.65,,,,,,,,bull,0.996
2024-01-16,NVDA,563.82,BUY,0.7,30,505.37,76.98,22.44,176.53,17.13,9.59,7.54,557.72,505.37,453.02,,,,,,,,bull,0.9589
2024-01-17,NVDA,560.53,BUY,0.7,40,508.95,74.52,25.14,137.81,18.22,10.71,7.51,565.9,508.95,451.99,,,,,,,,bull,0.9825
