date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change,regime,regime_score
2022-09-01,TSLA,277.16,HOLD,0.0,0,706.85,15.58,44.12,-113.8,-142.27,-70.2,-72.07,1262.83,706.85,150.87,,,,,,,,bear,-0.3377
2022-09-02,TSLA,270.21,HOLD,0.0,0,677.13,15.38,45.69,-97.3,-150.4,-86.24,-64.15,1259.14,677.13,95.12,,,,,,,,neutral,-0.2717
2022-09-05,TSLA,270.21,HOLD,0.0,0,677.13,15.1,43.6,-97.3,-151.73,-88.21,-63.53,1259.14,677.13,95.12,,,,,,,,neutral,-0.2717
2022-09-06,TSLA,274.42,HOLD,0.0,0,647.29,15.65,43.67,-85.4,-156.67,-102.75,-53.92,1247.35,647.29,47.23,,,,,,,,neutral,-0.2115
2022-09-07,TSLA,283.7,HOLD,0.0,0,618.97,17.35,47.61,-74.31,-155.5,-110.97,-44.53,1231.42,618.97,6.53,,,,,,,,neutral,-0.168
2022-09-08,TSLA,289.26,HOLD,0.0,0,589.28,18.36,48.64,-65.66,-153.98,-119.57,-34.41,1205.2,589.28,-26.64,,,,,,,,neutral,-0.1265
2022-09-09,TSLA,299.68,HOLD,0.0,0,561.27,20.33,49.33,-57.55,-150.2,-125.7,-24.5,1176.37,561.27,-53.83,,,,,,,,neutral,-0.1
2022-09-12,TSLA,304.42,HOLD,0.0,0,531.49,21.13,50.65,-51.32,-145.59,-130.25,-15.34,1135.67,531.49,-72.69,,,,,,,,neutral,-0.1
2022-09-13,TSLA,292.13,HOLD,0.0,0,499.7,20.41,49.9,-49.37,-141.13,-132.74,-8.4,1083.66,499.7,-84.26,,,,,,,,neutral,-0.1
2022-09-14,TSLA,302.61,HOLD,0.0,0,468.84,22.65,48.82,-44.03,-135.07,-133.37,-1.71,1025.34,468.84,-87.66,,,,,,,,neutral,-0.0984
2022-09-15,TSLA,303.75,HOLD,0.0,0,438.43,22.9,48.88,-39.44,-128.65,-132.42,3.77,960.13,438.43,-83.27,,,,,,,,neutral,0.1709
2022-09-16,TSLA,303.35,HOLD,0.0,0,408.17,22.87,48.99,-37.31,-122.19,-130.38,8.19,885.6,408.17,-69.26,,,,,,,,neutral,0.1704
2022-09-19,TSLA,309.07,HOLD,0.0,0,379.12,23.22,47.68,-32.1,-118.78,-133.44,14.65,803.5,379.12,-45.26,,,,,,,,neutral,0.1911
2022-09-20,TSLA,308.73,HOLD,0.0,0,351.07,23.17,47.47,-25.49,-111.89,-130.06,18.17,711.35,351.07,-9.21,,,,,,,,neutral,0.1905
2022-09-21,TSLA,300.8,HOLD,0.0,0,321.64,22.53,47.93,-19.11,-105.35,-125.25,19.9,584.11,321.64,59.17,,,,,,,,neutral,0.1768
2022-09-22,TSLA,288.59,HOLD,0.0,0,291.51,21.47,48.19,3.74,-100.37,-120.28,19.9,315.53,291.51,267.49,,,,,,,,neutral,0.1667
2022-09-23,TSLA,275.33,HOLD,0.0,0,290.47,20.35,48.6,-77.81,-96.39,-115.5,19.11,315.39,290.47,265.55,,,,,,,,neutral,0.1667
2022-09-26,TSLA,276.01,HOLD,0.0,0,289.87,19.65,50.65,-73.74,-93.58,-113.74,20.16,315.56,289.87,264.17,,,,,,,,neutral,0.1667
2022-09-27,TSLA,282.94,HOLD,0.0,0,289.77,21.33,53.61,-37.07,-90.4,-111.49,21.09,315.55,289.77,263.99,,,,,,,,neutral,0.1815
2022-09-28,TSLA,287.81,HOLD,0.0,0,290.28,23.15,59.7,-29.14,-84.92,-106.26,21.34,315.48,290.28,265.08,,,,,,,,neutral,0.2078
2022-09-29,TSLA,268.21,HOLD,0.0,0,289.91,21.03,59.73,-98.44,-81.21,-101.25,20.04,316.16,289.91,263.66,,,,,,,,neutral,0.1667
2022-09-30,TSLA,265.25,HOLD,0.0,0,289.31,20.72,59.81,-121.32,-77.61,-96.52,18.91,317.18,289.31,261.44,,,,,,,,neutral,0.1667
2022-10-03,TSLA,242.4,HOLD,0.0,0,287.92,17.89,63.76,-210.53,-76.94,-93.89,16.96,321.63,287.92,254.22,,,,,,,,neutral,0.1667
2022-10-04,TSLA,249.44,HOLD,0.0,0,286.67,21.07,62.28,-172.75,-71.58,-86.45,14.87,323.95,286.67,249.4,,,,,,,,neutral,0.1667
2022-10-05,TSLA,240.81,HOLD,0.0,0,284.53,19.99,63.11,-180.5,-69.52,-83.26,13.74,326.84,284.53,242.22,,,,,,,,neutral,0.1667
2022-10-06,TSLA,238.13,HOLD,0.0,0,281.97,19.7,63.15,-151.64,-67.11,-80.03,12.92,328.77,281.97,235.17,,,,,,,,neutral,0.1667
2022-10-07,TSLA,223.07,HOLD,0.0,0,278.14,18.08,63.38,-163.41,-65.66,-77.16,11.5,330.7,278.14,225.58,,,,,,,,neutral,0.1667
2022-10-10,TSLA,222.96,HOLD,0.0,0,274.07,17.56,66.76,-148.46,-63.36,-73.52,10.16,330.35,274.07,217.79,,,,,,,,neutral,0.1667
2022-10-11,TSLA,216.5,HOLD,0.0,0,270.29,15.85,68.33,-134.71,-63.26,-73.16,9.9,331.18,270.29,209.4,,,,,,,,neutral,0.1667
2022-10-12,TSLA,217.24,HOLD,0.0,0,266.02,15.51,75.72,-123.12,-62.16,-72.08,9.92,329.18,266.02,202.86,,,,,,,,neutral,0.1667
2022-10-13,TSLA,221.72,HOLD,0.0,0,261.92,18.19,75.86,-106.14,-59.33,-69.53,10.2,325.39,261.92,198.44,,,,,,,,neutral,0.1667
2022-10-14,TSLA,204.99,HOLD,0.0,0,257.0,16.13,75.74,-105.51,-57.77,-67.18,9.41,322.09,257.0,191.91,,,,,,,,neutral,0.1667
2022-10-17,TSLA,219.35,HOLD,0.0,0,252.51,24.2,77.38,-86.05,-54.07,-63.44,9.37,314.95,252.51,190.08,,,,,,,,neutral,0.2167
2022-10-18,TSLA,220.19,HOLD,0.0,0,248.09,24.81,76.28,-67.86,-50.34,-59.85,9.52,306.37,248.09,189.81,,,,,,,,neutral,0.2216
2022-10-19,TSLA,222.04,HOLD,0.0,0,244.15,26.06,75.39,-66.31,-46.52,-56.13,9.62,298.13,244.15,190.16,,,,,,,,neutral,0.2333
2022-10-20,TSLA,207.28,HOLD,0.0,0,240.08,23.24,75.06,-94.6,-44.83,-53.87,9.04,292.29,240.08,187.88,,,,,,,,neutral,0.1857
2022-10-21,TSLA,214.44,HOLD,0.0,0,237.04,27.35,74.76,-80.32,-42.43,-51.59,9.15,287.75,237.04,186.33,,,,,,,,neutral,0.2305
2022-10-24,TSLA,211.25,HOLD,0.0,0,233.8,33.75,41.16,-83.89,-18.08,-18.02,-0.06,282.37,233.8,185.24,,,,,,,,neutral,0.2192
2022-10-25,TSLA,222.41,HOLD,0.0,0,230.77,41.15,39.85,-43.85,-16.38,-17.39,1.01,273.96,230.77,187.59,,,,,,,,neutral,0.2842
2022-10-26,TSLA,224.64,HOLD,0.0,0,227.62,42.57,37.43,-15.78,-14.81,-16.76,1.95,261.99,227.62,193.24,,,,,,,,neutral,0.2959
2022-10-27,TSLA,225.09,HOLD,0.0,0,225.46,42.86,36.06,8.74,-13.48,-16.11,2.62,254.36,225.46,196.56,,,,,,,,neutral,0.2985
2022-10-28,TSLA,228.52,HOLD,0.0,0,223.62,45.11,35.24,7.57,-12.02,-15.29,3.27,246.13,223.62,201.11,,,,,,,,neutral,0.2808
2022-10-31,TSLA,227.54,HOLD,0.0,0,222.88,44.73,28.44,33.03,-10.56,-14.15,3.59,243.79,222.88,201.97,,,,,,,,neutral,0.2879
2022-11-01,TSLA,227.82,HOLD,0.0,0,221.8,45.13,27.82,89.38,-9.22,-12.88,3.66,239.01,221.8,204.59,,,,,,,,neutral,0.2858
2022-11-02,TSLA,214.98,HOLD,0.0,0,220.51,38.0,26.64,-15.08,-9.47,-12.43,2.96,235.56,220.51,205.46,,,,,,,,neutral,0.2297
2022-11-03,TSLA,215.31,HOLD,0.0,0,219.37,38.26,26.57,-49.41,-9.4,-11.83,2.42,232.2,219.37,206.54,,,,,,,,neutral,0.2327
2022-11-04,TSLA,207.47,HOLD,0.0,0,218.59,34.49,26.93,-92.11,-9.87,-11.44,1.57,232.29,218.59,204.88,,,,,,,,neutral,0.1938
2022-11-07,TSLA,197.08,HOLD,0.0,0,217.29,29.71,33.42,-188.91,-11.45,-12.07,0.62,233.72,217.29,200.87,,,,,,,,neutral,0.1667
2022-11-08,TSLA,191.3,HOLD,0.0,0,216.03,27.25,39.75,-233.85,-12.97,-12.73,-0.25,235.99,216.03,196.07,,,,,,,,neutral,0.1667
2022-11-09,TSLA,177.59,HOLD,0.0,0,214.05,22.95,43.91,-228.64,-14.96,-13.37,-1.59,240.09,214.05,188.01,,,,,,,,neutral,0.1667
2022-11-10,TSLA,190.72,HOLD,0.0,0,212.50,33.36,44.59,-164.89,-15.16,-13.73,-1.43,240.17,212.50,184.83,,,,,,,,neutral,0.2139
2026-04-08,TSLA,343.25,HOLD,0.0,0,376.26,33.09,27.95,-127.12,-13.58,-10.94,-2.64,412.22,376.26,340.31,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2.0,neutral,0.0
2026-04-09,TSLA,345.62,HOLD,0.0,0,373.15,34.58,27.78,-133.22,-14.05,-11.56,-2.48,408.41,373.15,337.9,2.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,neutral,0.0
2026-04-10,TSLA,348.95,HOLD,0.0,0,370.85,36.72,27.51,-106.06,-13.98,-12.05,-1.94,406.11,370.85,335.59,2.0,2.0,2.0,2.0,1.0,2.0,1.0,neutral,0.0
2026-04-13,TSLA,352.42,HOLD,0.0,0,368.91,38.87,32.39,-76.32,-13.44,-12.33,-1.11,403.74,368.91,334.08,2.0,1.0,1.0,1.0,0.0,1.0,0.0,neutral,0.0
2026-04-14,TSLA,364.2,HOLD,0.6,20,367.34,45.93,29.82,-27.85,-11.98,-12.29,0.3,399.99,367.34,334.7,2.0,0.0,1.0,1.0,-1.0,-1.0,-2.0,neutral,0.0
2026-04-15,TSLA,391.95,HOLD,0.6,20,366.98,58.36,26.06,78.18,-8.2,-11.13,2.93,398.32,366.98,335.63,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,neutral,0.0
2026-04-16,TSLA,388.9,BUY,0.6,20,366.78,56.83,25.3,109.36,-5.62,-10.03,4.41,397.53,366.78,336.04,2.0,1.0,1.0,1.0,1.0,1.0,0.0,neutral,0.0
2026-04-17,TSLA,400.62,BUY,0.7,10,367.8,61.06,25.3,156.54,-2.6,-8.54,5.94,401.47,367.8,334.13,2.0,1.0,1.0,1.0,1.0,1.0,-1.0,neutral,0.0
2026-04-20,TSLA,392.5,BUY,0.6,20,369.03,56.88,24.97,117.27,-0.9,-7.07,6.18,404.38,369.03,333.68,2.0,0.0,1.0,1.0,0.0,0.0,0.0,neutral,0.0
2026-04-21,TSLA,386.42,HOLD,0.6,20,369.31,53.92,24.48,80.49,-0.01,-5.7,5.69,405.11,369.31,333.5,2.0,-2.0,-2.0,-2.0,-1.0,-2.0,2.0,neutral,0.0
2026-04-22,TSLA,387.51,BUY,0.6,20,369.53,54.67,22.05,77.75,1.25,-3.79,5.03,405.73,369.53,333.33,2.0,1.0,1.0,1.0,1.0,1.0,1.0,neutral,0.0
2026-04-23,TSLA,373.72,HOLD,0.6,20,368.92,48.11,20.66,29.5,0.72,-2.88,3.61,404.39,368.92,333.44,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,neutral,0.0
2026-04-24,TSLA,376.3,HOLD,0.6,20,369.13,49.34,19.37,31.79,0.51,-2.21,2.71,404.72,369.13,333.53,2.0,0.0,1.0,1.0,1.0,1.0,-1.0,neutral,0.0
2026-04-27,TSLA,378.67,HOLD,0.6,20,369.97,50.34,20.54,20.32,0.26,-2.03,2.29,405.63,369.97,334.31,2.0,1.0,1.0,1.0,1.0,1.0,0.0,neutral,0.0
2026-04-28,TSLA,376.02,HOLD,0.6,20,371.01,49.12,18.65,27.52,0.31,-1.3,1.61,406.1,371.01,335.91,2.0,1.0,1.0,1.0,1.0,1.0,0.0,neutral,0.0
2026-04-29,TSLA,372.8,HOLD,0.6,20,371.06,47.42,16.28,9.37,-0.14,-1.14,1.0,406.16,371.06,335.96,2.0,1.0,1.0,1.0,1.0,1.0,0.0,neutral,0.0
2026-04-30,TSLA,381.63,HOLD,0.7,20,371.08,52.25,15.46,32.49,0.24,-0.86,1.1,406.2,371.08,335.95,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,neutral,0.0
2026-05-01,TSLA,390.82,BUY,0.6,20,372.59,56.71,15.55,74.98,1.27,-0.44,1.7,408.37,372.59,336.8,2.0,1.0,1.0,1.0,0.0,1.0,0.0,neutral,0.0
2026-05-04,TSLA,392.51,BUY,0.6,20,374.57,57.51,17.41,76.5,2.08,-0.09,2.17,410.15,374.57,338.99,2.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,neutral,0.0
2026-05-05,TSLA,389.37,BUY,0.6,20,376.71,55.74,17.31,85.74,2.88,0.92,1.96,410.41,376.71,343.01,2.0,1.0,1.0,1.0,1.0,1.0,0.0,neutral,0.0
2026-05-06,TSLA,398.73,BUY,0.6,20,379.48,60.24,16.44,85.3,3.86,1.45,2.41,410.75,379.48,348.21,2.0,1.0,1.0,1.0,1.0,1.0,0.0,neutral,0.0
2026-05-07,TSLA,411.79,BUY,0.7,20,382.79,65.56,17.29,154.08,5.68,2.3,3.39,413.02,382.79,352.57,2.0,1.0,1.0,1.0,1.0,1.0,0.0,neutral,0.0
2026-05-08,TSLA,411.79,BUY,0.6,20,382.79,65.56,17.29,154.08,5.68,2.3,3.39,413.02,382.79,352.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bull,0.9513
