date,symbol,close,trading_signal,confidence_level,position_size,sma,rsi,adx,cci,macd_line,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change,regime,regime_score
2023-09-01,XOM,113.52,BUY,0.7,60,109.22,65.96,9.57,194.36,1.18,0.83,0.35,113.03,109.22,105.41,,,,,,,,bull,0.8657
2023-09-04,XOM,113.52,BUY,0.7,60,109.22,66.83,12.39,194.36,1.36,1.09,0.27,113.03,109.22,105.41,,,,,,,,bull,0.8657
2023-09-05,XOM,113.53,BUY,0.7,60,109.54,66.83,16.17,201.53,1.54,1.17,0.37,113.66,109.54,105.41,,,,,,,,bull,0.8892
2023-09-06,XOM,114.51,BUY,0.7,60,109.88,68.83,16.54,161.67,1.7,1.21,0.49,114.44,109.88,105.31,,,,,,,,bull,0.8986
2023-09-07,XOM,113.95,BUY,0.7,60,110.1,66.17,18.34,147.29,1.8,1.33,0.47,114.99,110.1,105.2,,,,,,,,bull,0.8751
2023-09-08,XOM,115.61,BUY,0.7,60,110.37,69.88,20.07,146.72,2.0,1.46,0.54,115.82,110.37,104.92,,,,,,,,bull,0.9003
2023-09-11,XOM,114.16,BUY,0.7,60,110.49,63.55,22.86,115.93,2.03,1.58,0.44,116.15,110.49,104.82,,,,,,,,bull,0.822
2023-09-12,XOM,117.49,BUY,0.7,40,110.77,71.16,31.56,145.47,2.42,1.92,0.5,117.18,110.77,104.35,,,,,,,,bull,0.8329
2023-09-13,XOM,116.44,BUY,0.7,60,111.18,66.77,33.38,123.32,2.48,2.01,0.47,117.93,111.18,104.43,,,,,,,,bull,0.798
2023-09-14,XOM,118.52,BUY,0.7,40,111.79,70.61,34.48,133.35,2.68,2.14,0.54,118.87,111.79,104.7,,,,,,,,bull,0.8225
2023-09-15,XOM,116.7,BUY,0.7,60,112.2,63.69,34.81,101.23,2.66,2.25,0.42,119.42,112.2,104.99,,,,,,,,bull,0.7258
2023-09-18,XOM,117.64,BUY,0.7,60,112.58,65.41,31.67,96.48,2.61,2.21,0.4,120.1,112.58,105.07,,,,,,,,bull,0.769
2023-09-19,XOM,117.33,BUY,0.7,60,113.01,64.17,30.96,89.65,2.57,2.26,0.31,120.58,113.01,105.45,,,,,,,,bull,0.7882
2023-09-20,XOM,116.4,BUY,0.7,60,113.43,60.43,28.46,70.73,2.38,2.21,0.17,120.78,113.43,106.08,,,,,,,,bull,0.7488
2023-09-21,XOM,114.76,BUY,0.6,40,113.81,54.64,27.61,38.71,2.13,2.19,-0.06,120.58,113.81,107.04,,,,,,,,bull,0.6854
2023-09-22,XOM,114.94,BUY,0.6,50,114.24,55.15,26.81,30.88,1.92,2.14,-0.22,120.09,114.24,108.39,,,,,,,,bull,0.6951
2023-09-25,XOM,116.23,BUY,0.7,60,114.64,58.75,23.33,36.64,1.85,2.09,-0.25,119.86,114.64,109.42,,,,,,,,bull,0.7282
2023-09-26,XOM,116.41,BUY,0.7,60,115.0,59.48,28.65,39.32,1.83,2.1,-0.28,119.62,115.0,110.38,,,,,,,,bull,0.7349
2023-09-27,XOM,120.2,BUY,0.7,60,115.52,67.82,25.1,151.17,1.93,1.93,-0.0,120.02,115.52,111.02,,,,,,,,bull,0.8039
